,code_ip,id_competence,name_competence,type_ip,theme,id_unit,symbol_unit,name_unit,format_ip,decimal_ip,min_warning_ip,max_warning_ip,min_critic_ip,max_critic_ip,validity_start,validity_end,libelle_grand_public,unit_tag,prompt_instruction
0,P205.3,2,assainissement collectif,Performance,Epuration,1,%,%,%f,0,0.0,100.0,0.0,100.0,,,Conformité de la performance des ouvrages d’épuration du service aux prescriptions nationales issues de la directive ERU,en %,"
- Ne confonds pas avec d'autres taux de conformité dans l'extrait. Si tu ne trouves pas l'indicateur recherché, réponds '{no_answer_tag}'. Si tu trouves celui recherché et qu'il est indiqué uniquement 'conforme' dans l'extrait, réponds '100%'."
1,P203.3,2,assainissement collectif,Performance,Collecte,1,%,%,%f,0,0.0,100.0,0.0,100.0,,,Conformité de la collecte des effluents aux prescriptions définies aux prescriptions nationales issues de la directive ERU,en %,"
- Ne confonds pas avec d'autres taux de conformité dans l'extrait. Si tu ne trouves pas l'indicateur recherché, réponds '{no_answer_tag}'. Si tu trouves celui recherché et qu'il est indiqué uniquement 'conforme' dans l'extrait, réponds '100%'."
2,P204.3,2,assainissement collectif,Performance,Epuration,1,%,%,%f,0,0.0,100.0,0.0,100.0,,,Conformité des équipements d’épuration aux prescriptions nationales issues de la directive ERU,en %,"
- Ne confonds pas avec d'autres taux de conformité dans l'extrait. Si tu ne trouves pas l'indicateur recherché, réponds '{no_answer_tag}'. Si tu trouves celui recherché et qu'il est indiqué uniquement 'conforme' dans l'extrait, réponds '100%'."
3,P253.2,2,assainissement collectif,Performance,Reseau,1,%,%,%f,2,0.0,3.0,0.0,100.0,,,Renouvellement des réseaux de collecte des eaux usées,en %,"
- Ne confonds pas avec d'autres valeurs {unit_tag} dans l'extrait. Si tu ne trouves pas l'indicateur recherché, réponds '{no_answer_tag}'."
4,P103.2A,1,eau potable,Performance,Reseau,2,unité,unité,%d,0,0.0,100.0,0.0,100.0,,2012.0,Connaissance et gestion patrimoniale des réseaux d'eau potable (jusqu'à 2012),sans unité,
5,P202.2A,2,assainissement collectif,Performance,Reseau,2,unité,unité,%d,0,0.0,100.0,0.0,100.0,,2012.0,Connaissance et gestion patrimoniale des réseaux de collecte des eaux usées (jusqu'à 2012),sans unité,
6,P152.1,1,eau potable,Performance,Abonnes,1,%,%,%f,1,90.0,100.0,0.0,100.0,,,Respect du délai contractuel de branchement des nouveaux abonnés,en %,
7,P301.3,3,assainissement non collectif,Performance,Conformite,1,%,%,%f,1,0.0,100.0,0.0,100.0,,,Conformité des dispositifs d'assainissement non collectif,en %,
8,P101.1,1,eau potable,Performance,QualiteEau,1,%,%,%f,1,25.0,100.0,0.0,100.0,,,Conformité microbiologique de l’eau au robinet,en %,
9,P102.1,1,eau potable,Performance,QualiteEau,1,%,%,%f,1,25.0,100.0,0.0,100.0,,,Conformité physico-chimique de l’eau au robinet,en %,
