pdf_name,collectivity_name,collectivity_sispea_id,indicator,sispea_value,pdf_value
RPQS_Allain_AC_2021,Allain,163490,D201.0,476.0,476.0
RPQS_Allain_AC_2021,Allain,163490,D202.0,0.0,0.0
RPQS_Allain_AC_2021,Allain,163490,D203.0,,
RPQS_Allain_AC_2021,Allain,163490,D204.0,1.05,1.05
RPQS_Allain_AC_2021,Allain,163490,P201.1,100.0,100.0
RPQS_Allain_AC_2021,Allain,163490,P202.2B,85.0,85.0
RPQS_Allain_AC_2021,Allain,163490,P203.3,100.0,100.0
RPQS_Allain_AC_2021,Allain,163490,P204.3,100.0,100.0
RPQS_Allain_AC_2021,Allain,163490,P205.3,0.0,100.0
RPQS_Allain_AC_2021,Allain,163490,P206.3,,
RPQS_Allain_AC_2021,Allain,163490,P207.0,0.0008,0.0008
RPQS_Allain_AC_2021,Allain,163490,P251.1,0.0,
RPQS_Allain_AC_2021,Allain,163490,P252.2,0.0,
RPQS_Allain_AC_2021,Allain,163490,P253.2,,
RPQS_Allain_AC_2021,Allain,163490,P254.3,0.0,0.0
RPQS_Allain_AC_2021,Allain,163490,P255.3,20.0,
RPQS_Allain_AC_2021,Allain,163490,P256.2,0.0,
RPQS_Allain_AC_2021,Allain,163490,P257.0,,
RPQS_Allain_AC_2021,Allain,163490,P258.1,0.0,
