pdf_name,collectivity_name,collectivity_sispea_id,indicator,sispea_value,pdf_value
RPQS_Aubignosc_AC_2021,Aubignosc,50511,D201.0,489.0,489.0
RPQS_Aubignosc_AC_2021,Aubignosc,50511,D202.0,0.0,
RPQS_Aubignosc_AC_2021,Aubignosc,50511,D203.0,0.0,0.0
RPQS_Aubignosc_AC_2021,Aubignosc,50511,D204.0,1.29,1.29
RPQS_Aubignosc_AC_2021,Aubignosc,50511,P201.1,83.67,83.67
RPQS_Aubignosc_AC_2021,Aubignosc,50511,P202.2B,100.0,105.0
RPQS_Aubignosc_AC_2021,Aubignosc,50511,P203.3,100.0,
RPQS_Aubignosc_AC_2021,Aubignosc,50511,P204.3,100.0,
RPQS_Aubignosc_AC_2021,Aubignosc,50511,P205.3,100.0,
RPQS_Aubignosc_AC_2021,Aubignosc,50511,P206.3,,
RPQS_Aubignosc_AC_2021,Aubignosc,50511,P207.0,0.0,
RPQS_Aubignosc_AC_2021,Aubignosc,50511,P251.1,0.0,
RPQS_Aubignosc_AC_2021,Aubignosc,50511,P252.2,0.0,
RPQS_Aubignosc_AC_2021,Aubignosc,50511,P253.2,1.22,
RPQS_Aubignosc_AC_2021,Aubignosc,50511,P254.3,100.0,
RPQS_Aubignosc_AC_2021,Aubignosc,50511,P255.3,100.0,
RPQS_Aubignosc_AC_2021,Aubignosc,50511,P256.2,12.6,12.6
RPQS_Aubignosc_AC_2021,Aubignosc,50511,P257.0,4.9,
RPQS_Aubignosc_AC_2021,Aubignosc,50511,P258.1,0.0,
