pdf_name,collectivity_name,collectivity_sispea_id,indicator,sispea_value,pdf_value
RPQS_Autun_AC_2021,Autun,75327,D201.0,14199.0,14199.0
RPQS_Autun_AC_2021,Autun,75327,D202.0,8.0,8.0
RPQS_Autun_AC_2021,Autun,75327,D203.0,253.3,253.3
RPQS_Autun_AC_2021,Autun,75327,D204.0,2.41,2.41
RPQS_Autun_AC_2021,Autun,75327,P201.1,99.4,99.4
RPQS_Autun_AC_2021,Autun,75327,P202.2B,95.0,95.0
RPQS_Autun_AC_2021,Autun,75327,P203.3,100.0,
RPQS_Autun_AC_2021,Autun,75327,P204.3,100.0,
RPQS_Autun_AC_2021,Autun,75327,P205.3,100.0,
RPQS_Autun_AC_2021,Autun,75327,P206.3,100.0,100.0
RPQS_Autun_AC_2021,Autun,75327,P207.0,0.0018,0.0018
RPQS_Autun_AC_2021,Autun,75327,P251.1,0.7,0.7
RPQS_Autun_AC_2021,Autun,75327,P252.2,8.3,8.34
RPQS_Autun_AC_2021,Autun,75327,P253.2,0.53,0.36
RPQS_Autun_AC_2021,Autun,75327,P254.3,94.9,95.0
RPQS_Autun_AC_2021,Autun,75327,P255.3,90.0,90.0
RPQS_Autun_AC_2021,Autun,75327,P256.2,1.0,26.0
RPQS_Autun_AC_2021,Autun,75327,P257.0,2.22,2.22
RPQS_Autun_AC_2021,Autun,75327,P258.1,0.0,0.0
