pdf_name,collectivity_name,collectivity_sispea_id,indicator,sispea_value,pdf_value
RPQS_Genouilly_AC_2021,Genouilly,75458,D201.0,340.0,340.0
RPQS_Genouilly_AC_2021,Genouilly,75458,D202.0,0.0,0.0
RPQS_Genouilly_AC_2021,Genouilly,75458,D203.0,0.0,0.0
RPQS_Genouilly_AC_2021,Genouilly,75458,D204.0,1.72,1.72
RPQS_Genouilly_AC_2021,Genouilly,75458,P201.1,100.0,
RPQS_Genouilly_AC_2021,Genouilly,75458,P202.2B,82.0,70.0
RPQS_Genouilly_AC_2021,Genouilly,75458,P203.3,100.0,100.0
RPQS_Genouilly_AC_2021,Genouilly,75458,P204.3,100.0,100.0
RPQS_Genouilly_AC_2021,Genouilly,75458,P205.3,100.0,100.0
RPQS_Genouilly_AC_2021,Genouilly,75458,P206.3,,
RPQS_Genouilly_AC_2021,Genouilly,75458,P207.0,0.0,0.0
RPQS_Genouilly_AC_2021,Genouilly,75458,P251.1,0.0,
RPQS_Genouilly_AC_2021,Genouilly,75458,P252.2,0.0,
RPQS_Genouilly_AC_2021,Genouilly,75458,P253.2,5.1,
RPQS_Genouilly_AC_2021,Genouilly,75458,P254.3,,
RPQS_Genouilly_AC_2021,Genouilly,75458,P255.3,0.0,
RPQS_Genouilly_AC_2021,Genouilly,75458,P256.2,4.4,4.4
RPQS_Genouilly_AC_2021,Genouilly,75458,P257.0,7.23,
RPQS_Genouilly_AC_2021,Genouilly,75458,P258.1,0.0,
