pdf_name,collectivity_name,collectivity_sispea_id,indicator,sispea_value,pdf_value
RPQS_Illats_AC_2021,Illats,209894,D201.0,982.0,982.0
RPQS_Illats_AC_2021,Illats,209894,D202.0,0.0,0.0
RPQS_Illats_AC_2021,Illats,209894,D203.0,11.9,11.9
RPQS_Illats_AC_2021,Illats,209894,D204.0,3.7,3.7
RPQS_Illats_AC_2021,Illats,209894,P201.1,83.82,83.8
RPQS_Illats_AC_2021,Illats,209894,P202.2B,85.0,85.0
RPQS_Illats_AC_2021,Illats,209894,P203.3,100.0,100.0
RPQS_Illats_AC_2021,Illats,209894,P204.3,100.0,100.0
RPQS_Illats_AC_2021,Illats,209894,P205.3,100.0,100.0
RPQS_Illats_AC_2021,Illats,209894,P206.3,100.0,100.0
RPQS_Illats_AC_2021,Illats,209894,P207.0,0.0,
RPQS_Illats_AC_2021,Illats,209894,P251.1,0.0,0.0
RPQS_Illats_AC_2021,Illats,209894,P252.2,5.5,5.5
RPQS_Illats_AC_2021,Illats,209894,P253.2,0.01,0.0
RPQS_Illats_AC_2021,Illats,209894,P254.3,,
RPQS_Illats_AC_2021,Illats,209894,P255.3,20.0,20.0
RPQS_Illats_AC_2021,Illats,209894,P256.2,1.3,1.3
RPQS_Illats_AC_2021,Illats,209894,P257.0,1.57,1.57
RPQS_Illats_AC_2021,Illats,209894,P258.1,6.51,6.5
