pdf_name,collectivity_name,collectivity_sispea_id,indicator,sispea_value,pdf_value
RPQS_LaCorneEnVexin_AC_2021,La Corne en Vexin,260345,D201.0,200.0,201.0
RPQS_LaCorneEnVexin_AC_2021,La Corne en Vexin,260345,D202.0,0.0,0.0
RPQS_LaCorneEnVexin_AC_2021,La Corne en Vexin,260345,D203.0,0.7,0.7
RPQS_LaCorneEnVexin_AC_2021,La Corne en Vexin,260345,D204.0,6.55,6.55
RPQS_LaCorneEnVexin_AC_2021,La Corne en Vexin,260345,P201.1,,
RPQS_LaCorneEnVexin_AC_2021,La Corne en Vexin,260345,P202.2B,64.0,64.0
RPQS_LaCorneEnVexin_AC_2021,La Corne en Vexin,260345,P203.3,100.0,
RPQS_LaCorneEnVexin_AC_2021,La Corne en Vexin,260345,P204.3,100.0,
RPQS_LaCorneEnVexin_AC_2021,La Corne en Vexin,260345,P205.3,100.0,
RPQS_LaCorneEnVexin_AC_2021,La Corne en Vexin,260345,P206.3,100.0,100.0
RPQS_LaCorneEnVexin_AC_2021,La Corne en Vexin,260345,P207.0,0.0,0.0
RPQS_LaCorneEnVexin_AC_2021,La Corne en Vexin,260345,P251.1,0.0,0.0
RPQS_LaCorneEnVexin_AC_2021,La Corne en Vexin,260345,P252.2,0.0,0.0
RPQS_LaCorneEnVexin_AC_2021,La Corne en Vexin,260345,P253.2,0.0,0.0
RPQS_LaCorneEnVexin_AC_2021,La Corne en Vexin,260345,P254.3,100.0,100.0
RPQS_LaCorneEnVexin_AC_2021,La Corne en Vexin,260345,P255.3,90.0,90.0
RPQS_LaCorneEnVexin_AC_2021,La Corne en Vexin,260345,P256.2,,
RPQS_LaCorneEnVexin_AC_2021,La Corne en Vexin,260345,P257.0,0.79,0.79
RPQS_LaCorneEnVexin_AC_2021,La Corne en Vexin,260345,P258.1,0.0,0.0
