pdf_name,collectivity_name,collectivity_sispea_id,indicator,sispea_value,pdf_value
RPQS_Marthon_AC_2021,Marthon,140620,D201.0,568.0,568.0
RPQS_Marthon_AC_2021,Marthon,140620,D202.0,0.0,0.0
RPQS_Marthon_AC_2021,Marthon,140620,D203.0,0.0,0.0
RPQS_Marthon_AC_2021,Marthon,140620,D204.0,2.26,2.26
RPQS_Marthon_AC_2021,Marthon,140620,P201.1,100.0,100.0
RPQS_Marthon_AC_2021,Marthon,140620,P202.2B,75.0,75.0
RPQS_Marthon_AC_2021,Marthon,140620,P203.3,100.0,100.0
RPQS_Marthon_AC_2021,Marthon,140620,P204.3,100.0,100.0
RPQS_Marthon_AC_2021,Marthon,140620,P205.3,100.0,100.0
RPQS_Marthon_AC_2021,Marthon,140620,P206.3,100.0,100.0
RPQS_Marthon_AC_2021,Marthon,140620,P207.0,0.0,0.0
RPQS_Marthon_AC_2021,Marthon,140620,P251.1,,
RPQS_Marthon_AC_2021,Marthon,140620,P252.2,,
RPQS_Marthon_AC_2021,Marthon,140620,P253.2,,
RPQS_Marthon_AC_2021,Marthon,140620,P254.3,,
RPQS_Marthon_AC_2021,Marthon,140620,P255.3,,
RPQS_Marthon_AC_2021,Marthon,140620,P256.2,,
RPQS_Marthon_AC_2021,Marthon,140620,P257.0,,
RPQS_Marthon_AC_2021,Marthon,140620,P258.1,,
