pdf_name,collectivity_name,collectivity_sispea_id,indicator,sispea_value,pdf_value
RPQS_Abainville_AC_2021,Abainville,206841,D201.0,275.0,275.0
RPQS_Abainville_AC_2021,Abainville,206841,D202.0,0.0,0.0
RPQS_Abainville_AC_2021,Abainville,206841,D203.0,0.0,0.0
RPQS_Abainville_AC_2021,Abainville,206841,D204.0,1.62,1.62
RPQS_Abainville_AC_2021,Abainville,206841,P201.1,97.78,97.78
RPQS_Abainville_AC_2021,Abainville,206841,P202.2B,107.0,107.0
RPQS_Abainville_AC_2021,Abainville,206841,P203.3,100.0,100.0
RPQS_Abainville_AC_2021,Abainville,206841,P204.3,100.0,100.0
RPQS_Abainville_AC_2021,Abainville,206841,P205.3,100.0,100.0
RPQS_Abainville_AC_2021,Abainville,206841,P206.3,,
RPQS_Abainville_AC_2021,Abainville,206841,P207.0,0.0,0.0
RPQS_Abainville_AC_2021,Abainville,206841,P251.1,,
RPQS_Abainville_AC_2021,Abainville,206841,P252.2,,
RPQS_Abainville_AC_2021,Abainville,206841,P253.2,,
RPQS_Abainville_AC_2021,Abainville,206841,P254.3,,
RPQS_Abainville_AC_2021,Abainville,206841,P255.3,,
RPQS_Abainville_AC_2021,Abainville,206841,P256.2,,
RPQS_Abainville_AC_2021,Abainville,206841,P257.0,,
RPQS_Abainville_AC_2021,Abainville,206841,P258.1,,
