pdf_name,collectivity_name,collectivity_sispea_id,indicator,sispea_value,pdf_value
RPQS_Alloue_AC_2021,Alloue,140669,D201.0,374.0,374.0
RPQS_Alloue_AC_2021,Alloue,140669,D202.0,0.0,0.0
RPQS_Alloue_AC_2021,Alloue,140669,D203.0,0.0,0.0
RPQS_Alloue_AC_2021,Alloue,140669,D204.0,1.73,1.73
RPQS_Alloue_AC_2021,Alloue,140669,P201.1,100.0,100.0
RPQS_Alloue_AC_2021,Alloue,140669,P202.2B,72.0,72.0
RPQS_Alloue_AC_2021,Alloue,140669,P203.3,100.0,100.0
RPQS_Alloue_AC_2021,Alloue,140669,P204.3,100.0,100.0
RPQS_Alloue_AC_2021,Alloue,140669,P205.3,100.0,100.0
RPQS_Alloue_AC_2021,Alloue,140669,P206.3,100.0,100.0
RPQS_Alloue_AC_2021,Alloue,140669,P207.0,0.0,0.0
RPQS_Alloue_AC_2021,Alloue,140669,P251.1,,
RPQS_Alloue_AC_2021,Alloue,140669,P252.2,,
RPQS_Alloue_AC_2021,Alloue,140669,P253.2,,
RPQS_Alloue_AC_2021,Alloue,140669,P254.3,,
RPQS_Alloue_AC_2021,Alloue,140669,P255.3,,
RPQS_Alloue_AC_2021,Alloue,140669,P256.2,,
RPQS_Alloue_AC_2021,Alloue,140669,P257.0,,
RPQS_Alloue_AC_2021,Alloue,140669,P258.1,,
