pdf_name,collectivity_name,collectivity_sispea_id,indicator,sispea_value,pdf_value
RPQS_Brillac_AC_2021,Brillac,140671,D201.0,360.0,360.0
RPQS_Brillac_AC_2021,Brillac,140671,D202.0,0.0,0.0
RPQS_Brillac_AC_2021,Brillac,140671,D203.0,0.0,0.0
RPQS_Brillac_AC_2021,Brillac,140671,D204.0,2.04,2.04
RPQS_Brillac_AC_2021,Brillac,140671,P201.1,100.0,100.0
RPQS_Brillac_AC_2021,Brillac,140671,P202.2B,73.0,73.0
RPQS_Brillac_AC_2021,Brillac,140671,P203.3,100.0,100.0
RPQS_Brillac_AC_2021,Brillac,140671,P204.3,100.0,100.0
RPQS_Brillac_AC_2021,Brillac,140671,P205.3,100.0,100.0
RPQS_Brillac_AC_2021,Brillac,140671,P206.3,100.0,100.0
RPQS_Brillac_AC_2021,Brillac,140671,P207.0,0.0,0.0
RPQS_Brillac_AC_2021,Brillac,140671,P251.1,,
RPQS_Brillac_AC_2021,Brillac,140671,P252.2,,
RPQS_Brillac_AC_2021,Brillac,140671,P253.2,,
RPQS_Brillac_AC_2021,Brillac,140671,P254.3,,
RPQS_Brillac_AC_2021,Brillac,140671,P255.3,,
RPQS_Brillac_AC_2021,Brillac,140671,P256.2,,0
RPQS_Brillac_AC_2021,Brillac,140671,P257.0,,
RPQS_Brillac_AC_2021,Brillac,140671,P258.1,,
