pdf_name,collectivity_name,collectivity_sispea_id,indicator,sispea_value,pdf_value
RPQS_Durstel_AC_2021,DURSTEL,103526,D201.0,429.0,429.0
RPQS_Durstel_AC_2021,DURSTEL,103526,D202.0,0.0,0.0
RPQS_Durstel_AC_2021,DURSTEL,103526,D203.0,,
RPQS_Durstel_AC_2021,DURSTEL,103526,D204.0,1.43,1.43
RPQS_Durstel_AC_2021,DURSTEL,103526,P201.1,90.36,
RPQS_Durstel_AC_2021,DURSTEL,103526,P202.2B,93.0,93.0
RPQS_Durstel_AC_2021,DURSTEL,103526,P203.3,0.0,
RPQS_Durstel_AC_2021,DURSTEL,103526,P204.3,,
RPQS_Durstel_AC_2021,DURSTEL,103526,P205.3,,
RPQS_Durstel_AC_2021,DURSTEL,103526,P206.3,,
RPQS_Durstel_AC_2021,DURSTEL,103526,P207.0,0.0,0.0
RPQS_Durstel_AC_2021,DURSTEL,103526,P251.1,0.0,0.0
RPQS_Durstel_AC_2021,DURSTEL,103526,P252.2,0.0,0.0
RPQS_Durstel_AC_2021,DURSTEL,103526,P253.2,0.0,0.0
RPQS_Durstel_AC_2021,DURSTEL,103526,P254.3,,
RPQS_Durstel_AC_2021,DURSTEL,103526,P255.3,30.0,30.0
RPQS_Durstel_AC_2021,DURSTEL,103526,P256.2,13.3,13.3
RPQS_Durstel_AC_2021,DURSTEL,103526,P257.0,,
RPQS_Durstel_AC_2021,DURSTEL,103526,P258.1,0.24,0.24
