pdf_name,collectivity_name,collectivity_sispea_id,indicator,sispea_value,pdf_value
RPQS_Grolejac_AC_2021,Groléjac,137191,D201.0,364.0,364.0
RPQS_Grolejac_AC_2021,Groléjac,137191,D202.0,0.0,1.0
RPQS_Grolejac_AC_2021,Groléjac,137191,D203.0,3.9,3.9
RPQS_Grolejac_AC_2021,Groléjac,137191,D204.0,1.96,1.96
RPQS_Grolejac_AC_2021,Groléjac,137191,P201.1,,
RPQS_Grolejac_AC_2021,Groléjac,137191,P202.2B,10.0,10.0
RPQS_Grolejac_AC_2021,Groléjac,137191,P203.3,100.0,100.0
RPQS_Grolejac_AC_2021,Groléjac,137191,P204.3,100.0,100.0
RPQS_Grolejac_AC_2021,Groléjac,137191,P205.3,100.0,100.0
RPQS_Grolejac_AC_2021,Groléjac,137191,P206.3,100.0,100.0
RPQS_Grolejac_AC_2021,Groléjac,137191,P207.0,0.0,0.0
RPQS_Grolejac_AC_2021,Groléjac,137191,P251.1,0.0,0.0
RPQS_Grolejac_AC_2021,Groléjac,137191,P252.2,16.8,16.76
RPQS_Grolejac_AC_2021,Groléjac,137191,P253.2,,
RPQS_Grolejac_AC_2021,Groléjac,137191,P254.3,100.0,100.0
RPQS_Grolejac_AC_2021,Groléjac,137191,P255.3,,100.0
RPQS_Grolejac_AC_2021,Groléjac,137191,P256.2,0.0,0.0
RPQS_Grolejac_AC_2021,Groléjac,137191,P257.0,3.28,3.28
RPQS_Grolejac_AC_2021,Groléjac,137191,P258.1,0.0,0.0
