benchmark_version,pdf_list_file,indicator,no_value_indic_nb_in_sispea,accuracy_vs_sispea,precision_vs_sispea,recall_vs_sispea,tp_nb_vs_sispea,tn_nb_vs_sispea,fp1_nb_vs_sispea,fp2_nb_vs_sispea,fn_nb_vs_sispea,no_value_indic_nb_in_pdf,accuracy_vs_pdf,precision_vs_pdf,recall_vs_pdf,tp_nb_vs_pdf,tn_nb_vs_pdf,fp1_nb_vs_pdf,fp2_nb_vs_pdf,fn_nb_vs_pdf
benchmark_16,rpqs_eval_list_1.csv,D201.0,0.0,0.8666666666666667,0.8666666666666667,0.8666666666666667,13.0,0.0,0.0,2.0,0.0,0.0,0.9333333333333333,0.9333333333333333,0.9333333333333333,14.0,0.0,0.0,1.0,0.0
benchmark_16,rpqs_eval_list_1.csv,D202.0,0.0,0.8666666666666667,0.9285714285714286,0.8666666666666667,13.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,14.0,1.0,0.0,0.0,0.0
benchmark_16,rpqs_eval_list_1.csv,D203.0,2.0,0.7333333333333333,0.9090909090909091,0.7692307692307693,10.0,1.0,1.0,0.0,3.0,5.0,0.9333333333333333,0.9090909090909091,1.0,10.0,4.0,1.0,0.0,0.0
benchmark_16,rpqs_eval_list_1.csv,D204.0,0.0,0.7333333333333333,0.7333333333333333,0.7333333333333333,11.0,0.0,0.0,4.0,0.0,1.0,0.8,0.8,0.8571428571428571,12.0,0.0,1.0,2.0,0.0
benchmark_16,rpqs_eval_list_1.csv,P201.1,3.0,0.4666666666666667,0.46153846153846156,0.5,6.0,1.0,2.0,5.0,1.0,5.0,0.8,0.7692307692307693,1.0,10.0,2.0,3.0,0.0,0.0
benchmark_16,rpqs_eval_list_1.csv,P202.2B,0.0,0.8,0.8,0.8,12.0,0.0,0.0,3.0,0.0,0.0,0.8666666666666667,0.8666666666666667,0.8666666666666667,13.0,0.0,0.0,2.0,0.0
benchmark_16,rpqs_eval_list_1.csv,P203.3,0.0,0.8666666666666667,0.9285714285714286,0.8666666666666667,13.0,0.0,0.0,1.0,1.0,6.0,0.6666666666666666,0.6428571428571429,1.0,9.0,1.0,5.0,0.0,0.0
benchmark_16,rpqs_eval_list_1.csv,P204.3,1.0,0.7333333333333333,1.0,0.7142857142857143,10.0,1.0,0.0,0.0,4.0,6.0,0.9333333333333333,0.9,1.0,9.0,5.0,1.0,0.0,0.0
benchmark_16,rpqs_eval_list_1.csv,P205.3,1.0,0.6,0.8,0.5714285714285714,8.0,1.0,0.0,2.0,4.0,6.0,0.8666666666666667,0.8,0.8888888888888888,8.0,5.0,1.0,1.0,0.0
benchmark_16,rpqs_eval_list_1.csv,P206.3,8.0,0.8,0.7,1.0,7.0,5.0,3.0,0.0,0.0,7.0,0.8666666666666667,0.8,1.0,8.0,5.0,2.0,0.0,0.0
benchmark_16,rpqs_eval_list_1.csv,P207.0,0.0,0.5333333333333333,0.8888888888888888,0.5333333333333333,8.0,0.0,0.0,1.0,6.0,3.0,0.6666666666666666,0.8888888888888888,0.6666666666666666,8.0,2.0,1.0,0.0,4.0
benchmark_16,rpqs_eval_list_1.csv,P251.1,5.0,0.8,1.0,0.7,7.0,5.0,0.0,0.0,3.0,8.0,1.0,1.0,1.0,7.0,8.0,0.0,0.0,0.0
benchmark_16,rpqs_eval_list_1.csv,P252.2,5.0,0.6666666666666666,0.7142857142857143,0.5,5.0,5.0,0.0,2.0,3.0,8.0,1.0,1.0,1.0,7.0,8.0,0.0,0.0,0.0
benchmark_16,rpqs_eval_list_1.csv,P253.2,7.0,0.6,0.5,0.375,3.0,6.0,1.0,2.0,3.0,9.0,1.0,1.0,1.0,6.0,9.0,0.0,0.0,0.0
benchmark_16,rpqs_eval_list_1.csv,P254.3,8.0,0.3333333333333333,0.2727272727272727,0.42857142857142855,3.0,2.0,6.0,2.0,2.0,11.0,0.5333333333333333,0.36363636363636365,1.0,4.0,4.0,7.0,0.0,0.0
benchmark_16,rpqs_eval_list_1.csv,P255.3,6.0,0.6,0.625,0.5555555555555556,5.0,4.0,2.0,1.0,3.0,8.0,0.8666666666666667,0.75,0.8571428571428571,6.0,7.0,1.0,1.0,0.0
benchmark_16,rpqs_eval_list_1.csv,P256.2,6.0,0.6,0.5,0.3333333333333333,3.0,6.0,0.0,3.0,3.0,7.0,0.8666666666666667,1.0,0.75,6.0,7.0,0.0,0.0,2.0
benchmark_16,rpqs_eval_list_1.csv,P257.0,7.0,0.8,0.8333333333333334,0.625,5.0,7.0,0.0,1.0,2.0,10.0,0.9333333333333333,0.8333333333333334,1.0,5.0,9.0,1.0,0.0,0.0
benchmark_16,rpqs_eval_list_1.csv,P258.1,5.0,0.8,1.0,0.7,7.0,5.0,0.0,0.0,3.0,8.0,1.0,1.0,1.0,7.0,8.0,0.0,0.0,0.0
benchmark_32,rpqs_eval_list_1.csv,D201.0,0.0,0.9333333333333333,0.9333333333333333,0.9333333333333333,14.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,15.0,0.0,0.0,0.0,0.0
benchmark_32,rpqs_eval_list_1.csv,D202.0,0.0,0.8666666666666667,0.9285714285714286,0.8666666666666667,13.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,14.0,1.0,0.0,0.0,0.0
benchmark_32,rpqs_eval_list_1.csv,D203.0,2.0,0.6666666666666666,1.0,0.6153846153846154,8.0,2.0,0.0,0.0,5.0,5.0,0.8666666666666667,1.0,0.8,8.0,5.0,0.0,0.0,2.0
benchmark_32,rpqs_eval_list_1.csv,D204.0,0.0,0.7333333333333333,0.7857142857142857,0.7333333333333333,11.0,0.0,0.0,3.0,1.0,1.0,0.8666666666666667,0.8571428571428571,0.8571428571428571,12.0,1.0,0.0,2.0,0.0
benchmark_32,rpqs_eval_list_1.csv,P201.1,3.0,0.5333333333333333,0.5454545454545454,0.5,6.0,2.0,1.0,4.0,2.0,5.0,0.9333333333333333,0.9090909090909091,1.0,10.0,4.0,1.0,0.0,0.0
benchmark_32,rpqs_eval_list_1.csv,P202.2B,0.0,0.8,0.8571428571428571,0.8,12.0,0.0,0.0,2.0,1.0,0.0,0.8666666666666667,0.9285714285714286,0.8666666666666667,13.0,0.0,0.0,1.0,1.0
benchmark_32,rpqs_eval_list_1.csv,P203.3,0.0,0.4666666666666667,1.0,0.4666666666666667,7.0,0.0,0.0,0.0,8.0,6.0,0.8666666666666667,1.0,0.7777777777777778,7.0,6.0,0.0,0.0,2.0
benchmark_32,rpqs_eval_list_1.csv,P204.3,1.0,0.5333333333333333,1.0,0.5,7.0,1.0,0.0,0.0,7.0,6.0,0.8666666666666667,1.0,0.7777777777777778,7.0,6.0,0.0,0.0,2.0
benchmark_32,rpqs_eval_list_1.csv,P205.3,1.0,0.4666666666666667,0.8571428571428571,0.42857142857142855,6.0,1.0,0.0,1.0,7.0,6.0,0.8666666666666667,1.0,0.7777777777777778,7.0,6.0,0.0,0.0,2.0
benchmark_32,rpqs_eval_list_1.csv,P206.3,8.0,0.8666666666666667,0.7777777777777778,1.0,7.0,6.0,2.0,0.0,0.0,7.0,0.9333333333333333,0.8888888888888888,1.0,8.0,6.0,1.0,0.0,0.0
benchmark_32,rpqs_eval_list_1.csv,P207.0,0.0,0.7333333333333333,1.0,0.7333333333333333,11.0,0.0,0.0,0.0,4.0,3.0,0.9333333333333333,1.0,0.9166666666666666,11.0,3.0,0.0,0.0,1.0
benchmark_32,rpqs_eval_list_1.csv,P251.1,5.0,0.8,1.0,0.7,7.0,5.0,0.0,0.0,3.0,8.0,1.0,1.0,1.0,7.0,8.0,0.0,0.0,0.0
benchmark_32,rpqs_eval_list_1.csv,P252.2,5.0,0.6666666666666666,0.7142857142857143,0.5,5.0,5.0,0.0,2.0,3.0,8.0,1.0,1.0,1.0,7.0,8.0,0.0,0.0,0.0
benchmark_32,rpqs_eval_list_1.csv,P253.2,7.0,0.6,0.5,0.375,3.0,6.0,1.0,2.0,3.0,9.0,1.0,1.0,1.0,6.0,9.0,0.0,0.0,0.0
benchmark_32,rpqs_eval_list_1.csv,P254.3,8.0,0.7333333333333333,0.75,0.42857142857142855,3.0,8.0,0.0,1.0,3.0,11.0,1.0,1.0,1.0,4.0,11.0,0.0,0.0,0.0
benchmark_32,rpqs_eval_list_1.csv,P255.3,6.0,0.6666666666666666,0.7142857142857143,0.5555555555555556,5.0,5.0,1.0,1.0,3.0,8.0,0.9333333333333333,0.8571428571428571,0.8571428571428571,6.0,8.0,0.0,1.0,0.0
benchmark_32,rpqs_eval_list_1.csv,P256.2,6.0,0.4666666666666667,0.3333333333333333,0.3333333333333333,3.0,4.0,2.0,4.0,2.0,7.0,0.9333333333333333,0.8888888888888888,1.0,8.0,6.0,1.0,0.0,0.0
benchmark_32,rpqs_eval_list_1.csv,P257.0,7.0,0.8,1.0,0.625,5.0,7.0,0.0,0.0,3.0,10.0,1.0,1.0,1.0,5.0,10.0,0.0,0.0,0.0
benchmark_32,rpqs_eval_list_1.csv,P258.1,5.0,0.7333333333333333,1.0,0.6,6.0,5.0,0.0,0.0,4.0,8.0,0.9333333333333333,1.0,0.8571428571428571,6.0,8.0,0.0,0.0,1.0
benchmark_table_32,rpqs_eval_list_1.csv,D201.0,0.0,0.5333333333333333,0.8888888888888888,0.5333333333333333,8.0,0.0,0.0,1.0,6.0,0.0,0.6,1.0,0.6,9.0,0.0,0.0,0.0,6.0
benchmark_table_32,rpqs_eval_list_1.csv,D202.0,0.0,0.4666666666666667,0.875,0.4666666666666667,7.0,0.0,0.0,1.0,7.0,1.0,0.6,1.0,0.5714285714285714,8.0,1.0,0.0,0.0,6.0
benchmark_table_32,rpqs_eval_list_1.csv,D203.0,2.0,0.6666666666666666,1.0,0.6153846153846154,8.0,2.0,0.0,0.0,5.0,5.0,0.8666666666666667,1.0,0.8,8.0,5.0,0.0,0.0,2.0
benchmark_table_32,rpqs_eval_list_1.csv,D204.0,0.0,0.6,1.0,0.6,9.0,0.0,0.0,0.0,6.0,1.0,0.6666666666666666,1.0,0.6428571428571429,9.0,1.0,0.0,0.0,5.0
benchmark_table_32,rpqs_eval_list_1.csv,P201.1,3.0,0.4666666666666667,0.7142857142857143,0.4166666666666667,5.0,2.0,1.0,1.0,6.0,5.0,0.8,1.0,0.7,7.0,5.0,0.0,0.0,3.0
benchmark_table_32,rpqs_eval_list_1.csv,P202.2B,0.0,0.4666666666666667,1.0,0.4666666666666667,7.0,0.0,0.0,0.0,8.0,0.0,0.4666666666666667,1.0,0.4666666666666667,7.0,0.0,0.0,0.0,8.0
benchmark_table_32,rpqs_eval_list_1.csv,P203.3,0.0,0.4666666666666667,1.0,0.4666666666666667,7.0,0.0,0.0,0.0,8.0,6.0,0.8666666666666667,1.0,0.7777777777777778,7.0,6.0,0.0,0.0,2.0
benchmark_table_32,rpqs_eval_list_1.csv,P204.3,1.0,0.5333333333333333,1.0,0.5,7.0,1.0,0.0,0.0,7.0,6.0,0.8666666666666667,1.0,0.7777777777777778,7.0,6.0,0.0,0.0,2.0
benchmark_table_32,rpqs_eval_list_1.csv,P205.3,1.0,0.4666666666666667,0.8571428571428571,0.42857142857142855,6.0,1.0,0.0,1.0,7.0,6.0,0.8666666666666667,1.0,0.7777777777777778,7.0,6.0,0.0,0.0,2.0
benchmark_table_32,rpqs_eval_list_1.csv,P206.3,8.0,0.6,0.6666666666666666,0.2857142857142857,2.0,7.0,1.0,0.0,5.0,7.0,0.6666666666666666,1.0,0.375,3.0,7.0,0.0,0.0,5.0
benchmark_table_32,rpqs_eval_list_1.csv,P207.0,0.0,0.4,1.0,0.4,6.0,0.0,0.0,0.0,9.0,3.0,0.6,1.0,0.5,6.0,3.0,0.0,0.0,6.0
benchmark_table_32,rpqs_eval_list_1.csv,P251.1,5.0,0.6,1.0,0.4,4.0,5.0,0.0,0.0,6.0,8.0,0.8,1.0,0.5714285714285714,4.0,8.0,0.0,0.0,3.0
benchmark_table_32,rpqs_eval_list_1.csv,P252.2,5.0,0.5333333333333333,0.75,0.3,3.0,5.0,0.0,1.0,6.0,8.0,0.8,1.0,0.5714285714285714,4.0,8.0,0.0,0.0,3.0
benchmark_table_32,rpqs_eval_list_1.csv,P253.2,7.0,0.4666666666666667,0.3333333333333333,0.125,1.0,6.0,1.0,1.0,6.0,9.0,0.8,1.0,0.5,3.0,9.0,0.0,0.0,3.0
benchmark_table_32,rpqs_eval_list_1.csv,P254.3,8.0,0.6,1.0,0.14285714285714285,1.0,8.0,0.0,0.0,6.0,11.0,0.8,1.0,0.25,1.0,11.0,0.0,0.0,3.0
benchmark_table_32,rpqs_eval_list_1.csv,P255.3,6.0,0.5333333333333333,0.75,0.3333333333333333,3.0,5.0,1.0,0.0,6.0,8.0,0.8,1.0,0.5714285714285714,4.0,8.0,0.0,0.0,3.0
benchmark_table_32,rpqs_eval_list_1.csv,P256.2,6.0,0.5333333333333333,0.6666666666666666,0.2222222222222222,2.0,6.0,0.0,1.0,6.0,7.0,0.6666666666666666,1.0,0.375,3.0,7.0,0.0,0.0,5.0
benchmark_table_32,rpqs_eval_list_1.csv,P257.0,7.0,0.6666666666666666,1.0,0.375,3.0,7.0,0.0,0.0,5.0,10.0,0.8666666666666667,1.0,0.6,3.0,10.0,0.0,0.0,2.0
benchmark_table_32,rpqs_eval_list_1.csv,P258.1,5.0,0.4666666666666667,1.0,0.2,2.0,5.0,0.0,0.0,8.0,8.0,0.6666666666666666,1.0,0.2857142857142857,2.0,8.0,0.0,0.0,5.0
