benchmark_version,year,competence,pdf_name,no_value_indic_nb_in_sispea,accuracy_vs_sispea,precision_vs_sispea,recall_vs_sispea,tp_nb_vs_sispea,tn_nb_vs_sispea,fp1_nb_vs_sispea,fp2_nb_vs_sispea,fn_nb_vs_sispea,no_value_indic_nb_in_pdf,accuracy_vs_pdf,precision_vs_pdf,recall_vs_pdf,tp_nb_vs_pdf,tn_nb_vs_pdf,fp1_nb_vs_pdf,fp2_nb_vs_pdf,fn_nb_vs_pdf
benchmark_16,2021,assainissement collectif,RPQS_Abainville_AC_2021.pdf,9,0.9473684210526315,0.9090909090909091,1.0,10,8,1,0,0,9,0.9473684210526315,0.9090909090909091,1.0,10,8,1,0,0
benchmark_16,2021,assainissement collectif,RPQS_Allain_AC_2021.pdf,4,0.5263157894736842,0.6666666666666666,0.5333333333333333,8,2,2,2,5,10,0.8421052631578947,0.75,1.0,9,7,3,0,0
benchmark_16,2021,assainissement collectif,RPQS_Alloue_AC_2021.pdf,8,0.9473684210526315,0.9166666666666666,1.0,11,7,1,0,0,8,0.9473684210526315,0.9166666666666666,1.0,11,7,1,0,0
benchmark_16,2021,assainissement collectif,RPQS_Aubignosc_AC_2021.pdf,1,0.15789473684210525,0.5,0.1111111111111111,2,1,0,2,14,16,0.8421052631578947,0.25,0.3333333333333333,1,15,1,2,0
benchmark_16,2021,assainissement collectif,RPQS_Autun_AC_2021.pdf,0,0.6842105263157895,0.7222222222222222,0.6842105263157895,13,0,0,5,1,4,0.8421052631578947,0.8333333333333334,1.0,15,1,3,0,0
benchmark_16,2021,assainissement collectif,RPQS_Brillac_AC_2021.pdf,8,0.9473684210526315,0.9166666666666666,1.0,11,7,1,0,0,7,0.8947368421052632,0.9166666666666666,0.9166666666666666,11,6,1,0,1
benchmark_16,2021,assainissement collectif,RPQS_Durstel_AC_2021.pdf,6,0.8947368421052632,0.8461538461538461,0.8461538461538461,11,6,0,2,0,8,0.8947368421052632,0.8461538461538461,1.0,11,6,2,0,0
benchmark_16,2021,assainissement collectif,RPQS_Genouilly_AC_2021.pdf,2,0.3684210526315789,0.625,0.29411764705882354,5,2,0,3,9,12,0.8421052631578947,0.75,0.8571428571428571,6,10,2,0,1
benchmark_16,2021,assainissement collectif,RPQS_Grolejac_AC_2021.pdf,3,0.7894736842105263,0.7647058823529411,0.8125,13,2,1,3,0,2,0.9473684210526315,0.9411764705882353,0.9411764705882353,16,2,0,1,0
benchmark_16,2021,assainissement collectif,RPQS_Illats_AC_2021.pdf,1,0.6842105263157895,0.6842105263157895,0.7222222222222222,13,0,1,5,0,3,0.7894736842105263,0.7894736842105263,0.9375,15,0,3,1,0
